year,record,age,grade,consideration,plan,attempt
2001,187231,15,9,no,no,yes
2001,187232,15,9,no,no,yes
2001,187233,15,9,yes,yes,no
2001,187234,15,10,no,no,yes
2001,187235,15,10,no,no,yes
2001,187236,15,10,no,no,yes
2001,187237,15,9,no,no,yes
2001,187238,15,9,yes,no,yes
2001,187239,15,10,yes,no,no
2001,187240,15,9,no,no,yes
2001,187241,15,9,no,no,yes
2001,187242,15,9,no,no,yes
2001,187243,15,9,no,no,yes
2001,187244,15,9,no,no,yes
2001,187245,15,9,no,no,yes
2001,187248,15,9,no,no,yes
2001,187250,15,9,no,no,yes
2001,187251,15,9,no,no,yes
2001,187253,15,9,no,yes,yes
2001,187254,15,10,no,no,yes
2001,187255,15,9,no,no,yes
2001,187256,15,10,no,no,yes
2001,187257,15,9,no,no,yes
2001,187258,15,9,no,no,yes
2001,187259,15,10,yes,yes,no
2001,187260,15,10,no,no,yes
2001,187261,15,9,no,no,yes
2001,187262,15,9,no,no,yes
2001,187263,15,9,no,no,yes
2001,187264,15,9,no,no,yes
2001,187265,15,9,no,no,yes
2001,187266,15,9,no,no,yes
2001,187267,15,9,no,no,yes
2001,187268,15,9,no,no,yes
2001,187269,15,9,no,yes,no
2001,187271,15,9,no,yes,yes
2001,187272,15,9,no,no,yes
2001,187273,15,9,yes,yes,yes
2001,187275,15,9,yes,no,no
2001,187276,15,9,no,no,yes
2001,187277,15,10,no,no,yes
2001,187278,15,9,no,no,yes
2001,187279,15,9,no,no,yes
2001,187280,15,9,no,no,yes
2001,187281,15,9,no,no,yes
2001,187282,15,9,no,no,yes
2001,187283,15,10,no,no,yes
2001,187284,15,10,no,no,yes
2001,187285,15,9,no,no,yes
2001,187286,15,9,no,no,yes
2001,187287,15,10,no,no,yes
2001,187289,15,9,no,no,yes
2001,187290,15,9,no,no,yes
2001,187291,15,9,no,no,yes
2001,187292,15,9,no,no,yes
2001,187295,15,9,no,no,yes
2001,187297,15,9,no,no,yes
2001,187298,15,9,no,no,yes
2001,187299,15,9,no,no,yes
2001,187300,15,9,no,no,yes
2001,187301,15,9,no,no,yes
2001,187302,15,9,yes,yes,yes
2001,187303,15,10,no,no,yes
2001,187304,15,9,no,no,yes
2001,187305,15,9,no,no,yes
2001,187306,15,10,no,no,yes
2001,187307,15,9,no,no,yes
2001,187308,15,9,no,no,yes
2001,187309,15,10,no,no,yes
2001,187310,15,9,no,no,yes
2001,187311,15,9,no,no,yes
2001,187312,15,10,no,no,yes
2001,187313,15,9,yes,yes,no
2001,187314,15,9,yes,no,yes
2001,187315,15,10,no,no,yes
2001,187316,15,9,no,no,yes
2001,187317,15,9,no,no,yes
2001,187318,15,10,no,no,yes
2001,187319,15,10,no,no,yes
2001,187320,15,9,no,no,yes
2001,187322,15,9,no,no,yes
2001,187324,15,9,no,no,yes
2001,187325,15,10,no,no,yes
2001,187327,15,9,no,no,yes
2001,187328,15,9,no,no,yes
2001,187329,15,9,no,no,yes
2001,187330,15,9,no,no,yes
2001,187331,15,9,no,no,yes
2001,187332,15,9,no,no,yes
2001,187333,15,10,no,no,yes
2001,187334,15,9,no,no,yes
2001,187335,15,9,no,no,yes
2001,187336,15,9,no,no,yes
2001,187337,15,9,no,no,yes
2001,187338,15,9,no,no,yes
2001,187339,15,9,no,no,yes
2001,187341,15,9,no,no,yes
2001,187344,15,9,no,no,yes
2001,187345,15,9,no,no,yes
2001,187346,15,9,no,no,yes
2001,187347,15,9,no,no,yes
2001,187348,15,9,no,no,yes
2001,187349,15,9,no,no,yes
2001,187350,15,9,no,no,yes
2001,187351,15,9,yes,no,yes
2001,187352,15,10,no,no,yes
2001,187353,15,9,no,no,yes
2001,187354,15,9,no,no,yes
2001,187355,15,10,no,no,yes
2001,187356,15,9,no,no,yes
2001,187357,15,10,no,no,yes
2001,187359,15,9,no,no,yes
2001,187360,15,9,no,no,yes
2001,187361,15,9,no,no,yes
2001,187363,15,9,no,no,yes
2001,187364,15,9,no,no,yes
2001,187365,15,9,no,no,yes
2001,187366,15,9,no,no,yes
2001,187367,15,10,yes,no,yes
2001,187369,15,10,yes,yes,no
2001,187370,15,9,no,no,yes
2001,187371,15,9,yes,yes,no
2001,187372,15,9,no,no,yes
2001,187373,15,10,yes,no,yes
2001,187374,15,10,no,no,yes
2001,187375,15,9,no,no,yes
2001,187376,15,9,no,no,yes
2001,187378,15,9,no,no,yes
2001,187379,15,9,no,no,yes
2001,187380,15,9,no,no,yes
2001,187381,15,9,no,no,yes
2001,187382,15,9,no,no,yes
2001,187383,15,10,yes,yes,no
2001,187384,15,9,no,no,yes
2001,187385,15,9,no,no,yes
2001,187386,15,9,no,no,yes
2001,187387,15,10,no,no,yes
2001,187388,15,10,no,no,yes
2001,187389,15,9,no,no,yes
2001,187390,15,9,no,no,yes
2001,187391,15,9,no,no,yes
2001,187392,15,9,no,no,yes
2001,187393,15,9,no,no,yes
2001,187394,15,9,no,no,yes
2001,187395,15,9,no,no,yes
2001,187396,15,9,no,no,yes
2001,187397,15,10,no,no,yes
2001,187398,15,9,no,no,no
2001,187399,15,10,no,no,yes
2001,187400,15,9,no,no,yes
2001,187401,15,9,no,no,yes
2001,187402,15,9,no,no,yes
2001,187403,15,9,no,no,yes
2001,187404,15,10,no,no,yes
2001,187405,15,10,no,no,yes
2001,187406,15,9,no,no,yes
2001,187407,15,9,no,no,yes
2001,187408,15,10,yes,yes,yes
2001,187409,15,9,no,no,yes
2001,187410,15,9,no,no,yes
2001,187411,15,9,no,no,yes
2001,187412,15,9,yes,yes,no
2001,187414,15,9,no,no,yes
2001,187415,15,10,no,no,yes
2001,187416,15,9,no,no,yes
2001,187417,15,9,no,no,yes
2001,187418,15,9,no,no,yes
2001,187419,15,9,no,no,yes
2001,187421,15,9,yes,yes,yes
2001,187422,15,9,no,no,yes
2001,187423,15,9,no,no,yes
2001,187424,15,9,no,no,yes
2001,187425,15,9,no,no,yes
2001,187426,15,9,no,no,yes
2001,187427,15,9,no,no,yes
2001,187429,15,9,no,no,yes
2001,187431,15,10,no,no,yes
2001,187432,15,10,no,no,yes
2001,187434,15,9,no,no,yes
2001,187437,15,9,no,no,yes
2001,187438,15,9,no,no,yes
2001,187439,15,9,no,no,yes
2001,187441,15,9,no,no,yes
2001,187442,15,9,no,no,yes
2001,187443,15,9,no,no,yes
2001,187444,15,9,no,no,yes
2001,187445,15,9,no,no,yes
2001,187447,15,9,yes,yes,yes
2001,187448,15,10,no,no,yes
2001,187449,15,9,no,no,yes
2001,187450,15,10,no,no,yes
2001,187451,15,10,no,no,yes
2001,187452,15,10,no,no,yes
2001,187454,15,9,no,no,yes
2001,187455,15,9,no,no,yes
2001,187456,15,9,no,no,yes
2001,187457,15,9,no,no,yes
2001,187458,15,9,no,no,yes
2001,187459,15,10,yes,yes,yes
2001,187460,15,10,no,no,yes
2001,187461,15,9,no,no,yes
2001,187463,15,9,no,no,yes
2001,187464,15,11,no,no,yes
2001,187465,15,9,no,no,yes
2001,187466,15,10,no,no,yes
2001,187467,15,9,no,no,yes
2001,187468,15,10,yes,no,no
2001,187469,15,9,no,no,yes
2001,187470,15,9,no,no,yes
2001,187471,15,9,no,no,yes
2001,187472,15,10,no,no,yes
2001,187473,15,10,no,no,yes
2001,187474,15,10,no,no,yes
2001,187475,15,10,no,no,yes
2001,187476,15,10,no,no,yes
2001,187477,15,10,no,no,yes
2001,187478,15,9,no,no,yes
2001,187479,15,9,no,no,yes
2001,187480,15,9,no,no,yes
2001,187481,15,9,no,no,yes
2001,187482,15,10,no,no,yes
2001,187483,15,9,no,no,yes
2001,187485,15,9,yes,yes,yes
2001,187486,15,9,no,no,yes
2001,187487,15,9,no,no,yes
2001,187488,15,9,no,no,yes
2001,187489,15,9,no,no,yes
2001,187490,15,9,no,no,yes
2001,187492,15,9,no,no,yes
2001,187493,15,9,no,no,yes
2001,187494,15,10,no,no,yes
2001,187495,15,9,no,no,yes
2001,187496,15,9,yes,yes,no
2001,187497,15,9,yes,no,yes
2001,187498,15,10,no,yes,no
2001,187499,15,9,no,no,yes
2001,187500,15,9,no,no,yes
2001,187501,15,9,no,no,yes
2001,187503,15,9,no,no,yes
2001,187504,15,9,no,no,yes
2001,187505,15,9,no,no,yes
2001,187506,15,10,no,no,yes
2001,187507,15,10,yes,yes,no
2001,187508,15,9,no,no,yes
2001,187510,15,9,no,no,yes
2001,187512,15,9,no,no,yes
2001,187513,15,10,no,no,yes
2001,187514,15,10,no,no,yes
2001,187515,15,9,no,no,yes
2001,187516,15,9,no,no,yes
2001,187517,15,9,no,no,yes
2001,187519,15,9,no,no,yes
2001,187520,15,9,no,no,yes
2001,187521,15,9,no,no,yes
2001,187522,15,9,no,no,yes
2001,187523,15,9,yes,no,yes
2001,187524,15,9,no,no,yes
2001,187525,15,9,yes,yes,no
2001,187526,15,9,no,no,yes
2001,187527,15,9,no,no,yes
2001,187528,15,9,yes,yes,yes
2001,187529,15,9,no,no,yes
2001,187530,15,9,no,no,yes
2001,187531,15,9,no,no,yes
2001,187532,15,9,no,no,yes
2001,187533,15,9,no,no,yes
2001,187534,15,9,no,no,yes
2001,187535,15,9,no,no,yes
2001,187536,15,9,no,no,yes
2001,187537,15,9,no,no,yes
2001,187538,15,9,no,no,yes
2001,187539,15,9,no,no,yes
2001,187540,15,10,no,no,yes
2001,187542,15,9,no,no,yes
2001,187543,15,9,no,no,yes
2001,187544,15,9,no,no,yes
2001,187545,15,10,no,no,yes
2001,187546,15,9,no,no,yes
2001,187547,15,9,no,no,yes
2001,187549,15,10,no,no,yes
2001,187550,15,10,no,no,yes
2001,187551,15,9,no,no,yes
2001,187552,15,9,no,no,yes
2001,187553,15,9,no,no,yes
2001,187554,15,9,no,no,yes
2001,187555,15,9,no,no,yes
2001,187556,15,9,no,no,yes
2001,187557,15,9,no,no,yes
2001,187559,15,9,no,no,yes
2001,187560,15,10,no,no,yes
2001,187562,15,9,no,no,yes
2001,187563,15,9,no,no,yes
2001,187564,15,9,no,no,yes
2001,187565,15,9,no,yes,yes
2001,187566,15,9,no,no,yes
2001,187567,15,9,no,no,yes
2001,187568,15,9,no,no,yes
2001,187570,15,10,no,no,yes
2001,187571,15,9,no,no,yes
2001,187572,15,9,no,no,yes
2001,187573,15,9,no,no,yes
2001,187574,15,9,no,no,yes
2001,187575,15,10,no,no,no
2001,187576,15,9,no,no,yes
2001,187577,15,9,yes,yes,no
2001,187579,15,9,no,no,yes
